Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id
409285000,11500,509695,QuintaNormal,Hoevel4548y4558,7,4.0,384.0,732.0,3.0,11700213
105000000,2950,130760,PedroAguirreCerda,Rucalhue,2,1.0,112.0,145.0,1.0,10894299
128124000,3600,159557,EstaciónCentral,AvenidaLasParcelas,3,1.0,59.0,243.0,2.0,10257635
75000000,2107,93400,Colina,PasajeGonzaloRojas,3,1.0,103.0,73.0,1.0,9232092
53000000,1489,66002,Colina,HernánDíazArrieta2820,2,1.0,57.0,67.0,1.0,7085397
94000000,2641,117061,EstaciónCentral,Avenida5deAbril,2,1.0,72.0,131.0,,7586371
75000000,2107,93400,Colina,GabrielaMistral/PabloNeruda,3,1.0,70.0,80.0,2.0,11688480
105000000,2950,130760,LaFlorida,SanCristóbalTres,2,1.0,50.0,120.0,1.0,12229303
76000000,2135,94645,Maipú,PasajeJosédeMoraleda,3,1.0,72.0,72.0,1.0,12223374
76000000,2135,94645,Maipú,Matías,3,1.0,46.0,90.0,1.0,12221068
90000000,2529,112080,Maipú,LasTinajas&QuintaVergara,3,1.0,100.0,134.0,3.0,12188657
75000000,2107,93400,SanBernardo,ValledelAconcagua,3,2.0,50.0,88.0,1.0,12187463
153037000,4300,190582,Maipú,Merlin,3,2.0,98.0,130.0,2.0,12187364
132000000,3709,164384,QuintaNormal,SalvadorGutiérrez&Jujuy,4,1.0,69.0,200.0,2.0,8493024
199000000,5591,247821,Santiago,Cuevas,7,3.0,162.0,185.0,,12155606
79000000,2220,98381,PuenteAlto,PasajeLagoBertrand,2,1.0,,,2.0,12149041
373695000,10500,465374,LaFlorida,JoséMiguelCarrera,7,3.0,173.0,850.0,3.0,7850911
480000000,13487,597758,LaFlorida,Altomacul,5,6.0,240.0,600.0,2.0,6474890
142000000,3990,176837,Santiago,Sandaniel,3,2.0,100.0,163.0,2.0,12065162
295397000,8300,367867,LaFlorida,CaminodelaNaturaleza,3,3.0,105.0,280.0,2.0,10765504
391490000,11000,487534,LaFlorida,Cam.LasCumbres6790,5,3.0,150.0,400.0,2.0,10105612
1210060000,34000,1506924,LasCondes,Laforesta,5,5.0,360.0,1150.0,4.0,10080545
160155000,4500,199446,Lampa,AvenidaLaMontañaSur4149,3,3.0,80.0,156.0,2.0,8677005
129903500,3650,161773,Lampa,AvenidaLaHacienda,3,2.0,68.0,221.0,1.0,7850612
75000000,2107,93400,Quilicura,Riocachapoal,2,2.0,70.0,78.0,,11426067
50000000,1405,62267,PuenteAlto,CerroParedones,3,1.0,31.0,73.0,,11988681
175000000,4917,217933,Santiago,RíoTrancura,3,3.0,94.0,191.0,4.0,11840169
150000000,4215,186800,QuintaNormal,NuevaImperial,2,1.0,96.0,247.0,1.0,11933894
160000000,4496,199253,SanBernardo,AltoJahuel,3,2.0,91.0,268.0,2.0,11915330
75000000,2107,93400,PuenteAlto,TocornalExPedroDuarte,3,1.0,,87.0,1.0,6775287
85000000,2388,105853,PuenteAlto,Maullín,5,2.0,,105.0,1.0,6776151
75000000,2107,93400,LaPintana,VioletaParra,3,1.0,62.0,88.0,1.0,9449460
